,Sales,forecast
1964-01-01,43.0,
1964-02-01,92.0,
1964-03-01,644.0,
1964-04-01,3444.0,
1964-05-01,28.0,
1964-06-01,469.0,
1964-07-01,54.0,
1964-08-01,259.0,
1964-09-01,239.0,
1964-10-01,27.0,
1964-11-01,443.0,
1964-12-01,78.0,
1965-01-01,152.0,
1965-02-01,709.0,
1965-03-01,22.0,
1965-04-01,133.0,
1965-05-01,735.0,
1965-06-01,63.0,
1965-07-01,155.0,
1965-08-01,149.0,
1965-09-01,26.0,
1965-10-01,28.0,
1965-11-01,60.0,
1965-12-01,80.0,
1966-01-01,45.0,
1966-02-01,305.0,
1966-03-01,577.0,
1966-04-01,231.0,
1966-05-01,18000.0,
1966-06-01,43.0,
1966-07-01,40.0,
1966-08-01,343.0,
1966-09-01,82.0,
1966-10-01,12.0,
1966-11-01,12.0,
1966-12-01,26.0,
1967-01-01,15.0,
1967-02-01,349.0,
1967-03-01,636.0,
1967-04-01,148.0,
1967-05-01,56.0,
1967-06-01,26.0,
1967-07-01,19.0,
1967-08-01,185.0,
1967-09-01,62.0,
1967-10-01,43.0,
1967-11-01,34.0,
1967-12-01,140.0,
1968-01-01,122.0,
1968-02-01,100.0,
1968-03-01,723.0,
1968-04-01,280.0,
1968-05-01,131.0,
1968-06-01,257.0,
1968-07-01,23.0,
1968-08-01,1000.0,
1968-09-01,103.0,
1968-10-01,316.0,
1968-11-01,22.0,
1968-12-01,357.0,
1969-01-01,82.0,
1969-02-01,18.0,
1969-03-01,43.0,
1969-04-01,831.0,
1969-05-01,30.0,
1969-06-01,160.0,
1969-07-01,27.0,
1969-08-01,82.0,
1969-09-01,14.0,
1969-10-01,103.0,
1969-11-01,25.0,
1969-12-01,66.0,
1970-01-01,46.0,
1970-02-01,371.0,
1970-03-01,344.0,
1970-04-01,28.0,
1970-05-01,76.0,
1970-06-01,1048.0,
1970-07-01,1167.0,
1970-08-01,96.0,
1970-09-01,305.0,
1970-10-01,384.0,
1970-11-01,287.0,
1970-12-01,589.0,
1971-01-01,425.0,
1971-02-01,97.0,
1971-03-01,205.0,
1971-04-01,119.0,
1971-05-01,1239.0,
1971-06-01,74.0,
1971-07-01,23.0,
1971-08-01,65.0,
1971-09-01,28.0,
1971-10-01,149.0,
1971-11-01,46.0,
1971-12-01,201.0,
1972-01-01,451.0,
1972-02-01,151.0,
1972-03-01,16.0,
1972-04-01,247.0,
1972-05-01,242.0,
1972-06-01,84.0,
1972-07-01,16.0,
1972-08-01,133.0,
1972-09-01,,-193.97438579853915
1972-10-01,,-180.30916047976692
1972-11-01,,-200.52084353766668
1972-12-01,,-142.40178376885535
1973-01-01,,-194.83755213372453
1973-02-01,,-81.84469904131561
1973-03-01,,46.557420159047666
1973-04-01,,287.93305126344416
1973-05-01,,1920.5428703715359
1973-06-01,,-54.591715039427754
1973-07-01,,-143.42341316862962
1973-08-01,,-78.47767836267093
1973-09-01,,-244.94011285172036
1973-10-01,,-231.11232661999938
1973-11-01,,-255.8726101936108
1973-12-01,,-192.1417146589038
1974-01-01,,-227.0246468862693
1974-02-01,,-138.00056288743292
1974-03-01,,-24.885437423426367
1974-04-01,,215.8880260686197
1974-05-01,,1753.4563456767603
1974-06-01,,-116.217711971077
1974-07-01,,-203.8404067074912
1974-08-01,,-135.8736131842737
1974-09-01,,-311.65163455021343
1974-10-01,,-297.8332828203785
1974-11-01,,-322.3295805479099
1974-12-01,,-258.9243775438186
1975-01-01,,-294.826018774724
1975-02-01,,-204.41086607974557
1975-03-01,,-90.40853366899319
1975-04-01,,150.39987765504628
1975-05-01,,1693.4840939816477
1975-06-01,,-182.3105465912944
1975-07-01,,-270.003407916851
1975-08-01,,-202.21194672690348
1975-09-01,,-377.4493220029233
1975-10-01,,-363.6304227255616
1975-11-01,,-388.14204132523594
1975-12-01,,-324.7179361955436
1976-01-01,,-360.56045489913987
1976-02-01,,-270.2260352659984
1976-03-01,,-156.27519343474975
1976-04-01,,84.53118963181457
1976-05-01,,1627.2952814152554
1976-06-01,,-248.14414061158553
1976-07-01,,-335.83292969858485
1976-08-01,,-268.0312927954298
1976-09-01,,-443.30004539618596
1976-10-01,,-429.4811778966857
1976-11-01,,-453.9919073232218
1976-12-01,,-390.56889921086537
1977-01-01,,-426.414849191915
1977-02-01,,-336.0757440768188
1977-03-01,,-222.12191390132037
1977-04-01,,18.684586878651377
1977-05-01,,1561.4672576399746
1977-06-01,,-313.9927801055059
1977-07-01,,-401.6818055318667
